"VideoURL";"Speaker";"AvailableSubtitlesCount";"Duraton";"TimeFilmed";"TalkViewsCount";"TalkCommentsCount"
"https://www.ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger";"Mallory Soldner";"21";"11:15";"Sep 2016";"902,833";"11"
"https://www.ted.com/talks/marco_tempest_the_augmented_reality_of_techno_magic";"Marco Tempest";"43";" 5:44";"Jul 2011";"1,031,903";"93"
"https://www.ted.com/talks/margaret_bourdeaux_why_civilians_suffer_more_once_a_war_is_over";"Margaret Bourdeaux";"13";"14:21";"Nov 2015";"652,782";"11"
"https://www.ted.com/talks/martin_hanczyc_the_line_between_life_and_not_life";"Martin Hanczyc";"30";"14:37";"May 2011";"704,378";"184"
"https://www.ted.com/talks/matthew_williams_special_olympics_let_me_be_myself_a_champion";"Matthew Williams";"24";"14:12";"Nov 2015";"1,060,664";"38"
"https://www.ted.com/talks/megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left";"Megan Phelps-Roper";"19";"15:17";"Feb 2017";"3,047,935";"184"
"https://www.ted.com/talks/melati_and_isabel_wijsen_our_campaign_to_ban_plastic_bags_in_bali";"Melati and Isabel Wijsen";"28";"11:00";"Sep 2015";"1,173,030";"102"
"https://www.ted.com/talks/melvin_russell_i_love_being_a_police_officer_but_we_need_reform";"Melvin Russell";"18";"13:07";"Sep 2015";"953,316";"88"
"https://www.ted.com/talks/meron_gribetz_a_glimpse_of_the_future_through_an_augmented_reality_headset";"Meron Gribetz";"25";"10:54";"Feb 2016";"1,519,952";"47"
"https://www.ted.com/talks/michael_botticelli_addiction_is_a_disease_we_should_treat_it_like_one";"Michael Botticelli";"11";"10:44";"Oct 2016";"895,877";"56"
"https://www.ted.com/talks/michael_shermer_on_believing_strange_things";"Michael Shermer";"41";"13:25";"Feb 2006";"5,244,617";"490"
"https://www.ted.com/talks/michele_l_sullivan_asking_for_help_is_a_strength_not_a_weakness";"Michele L. Sullivan";"16";"11:55";"Oct 2016";"894,782";"26"
"https://www.ted.com/talks/mike_velings_the_case_for_fish_farming";"Mike Velings";"22";"15:18";"Oct 2015";"1,168,601";"109"
"https://www.ted.com/talks/mona_chalabi_3_ways_to_spot_a_bad_statistic";"Mona Chalabi";"12";"11:45";"Feb 2017";"1,032,689";"36"
"https://www.ted.com/talks/moshe_szyf_how_early_life_experience_is_written_into_dna";"Moshe Szyf";"11";"16:35";"Jul 2016";"779,056";"55"
"https://www.ted.com/talks/natasha_hurley_walker_how_radio_telescopes_show_us_unseen_galaxies";"Natasha Hurley-Walker";"5";"15:25";"Oct 2016";"577,633";"25"
"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child";"Nicholas Negroponte";"25";"17:37";"Feb 2006";"347,058";"98"
"https://www.ted.com/talks/ole_scheeren_why_great_architecture_should_tell_a_story";"Ole Scheeren";"23";"16:26";"Sep 2015";"1,994,995";"72"
"https://www.ted.com/talks/oscar_schwartz_can_a_computer_write_poetry";"Oscar Schwartz";"30";"10:56";"May 2015";"744,019";"89"
"https://www.ted.com/talks/pardis_sabeti_how_we_ll_fight_the_next_deadly_virus";"Pardis Sabeti";"31";" 9:37";"May 2015";"1,146,756";"20"
